"","Constit_Code","pcon","Winner19","Conservative","Labour","Liberal Democrat","Scottish National Party","Plaid Cymru","Green","Other","Winner","results"
"1","E14000530","Aldershot","Conservative",0.252221256561155,0.235159801753653,0.0791389485339153,0.00002473614892852,0.000013810724069944,0.0435414371721569,0.0388610981054042,"Conservative","Conservative Hold"
"2","E14000531","Aldridge-Brownhills","Conservative",0.323745893113684,0.207166605100703,0.0501853808121845,0.000073134986712484,0.0000317561218494,0.0321842041546192,0.0402057929022395,"Conservative","Conservative Hold"
"3","E14000532","Altrincham and Sale West","Conservative",0.251194503819219,0.314657331714676,0.084525466545259,0.000009431256758332,0.000028518852013176,0.0510976855811318,0.0406535541134759,"Labour","Labour Gain"
"4","E14000533","Amber Valley","Conservative",0.291564550313756,0.226905856803505,0.0524169495794629,0.000030827120791356,0.000030112997859332,0.0407144924797489,0.0399048474807316,"Conservative","Conservative Hold"
"5","E14000534","Arundel and South Downs","Conservative",0.322006738203989,0.194208228488549,0.134898265708562,0.000055103602163988,0.000000787044573484,0.0510996830064786,0.0364187904720075,"Conservative","Conservative Hold"
"6","E14000535","Ashfield","Conservative",0.246315954855012,0.249116496022474,0.0546343272082306,0.000568499939317968,0.000022582151243324,0.0336667662263206,0.0561765658117132,"Labour","Labour Gain"
"7","E14000536","Ashford","Conservative",0.28103378516282,0.224393759293549,0.0696213118851561,0.00000760533648928,0.000022512589250824,0.0398114698750828,0.038930069172694,"Conservative","Conservative Hold"
"8","E14000537","Ashton-under-Lyne","Labour",0.2002387177697,0.307084078218049,0.0422457381830291,0.000080574483772988,0.000027080502758012,0.037675408831568,0.0404503620485057,"Labour","Labour Hold"
"9","E14000538","Aylesbury","Conservative",0.261220824483217,0.26177470193621,0.0984140126229703,0.00000744794318332,0.000002965656455012,0.0459327197357774,0.0394071858422238,"Labour","Labour Gain"
"10","E14000539","Banbury","Conservative",0.263706326081017,0.272152807979075,0.0904751104799204,0.000017649832136864,0.000004619584832664,0.0475300446819956,0.0396577051143796,"Labour","Labour Gain"
"11","E14000540","Barking","Labour",0.132559320143868,0.346583851714707,0.0338416295412217,0.000093962572583684,0.000086047850763172,0.0363328050546779,0.043199661932285,"Labour","Labour Hold"
