"","Constit_Code","ConstituencyName.x","Winner19","Electorate19","Conservative","Labour","Liberal Democrat","Scottish National Party","Plaid Cymru","Green","Reform UK","Other","Winner","results"
"1","E14000530","Aldershot","Conservative",72617,0.371618474912734,0.322753266985042,0.125129567676483,0.0000402172693287449,0.0000257223628002089,0.0751013347472457,0.0501006564693043,0.0552307595770613,"Conservative","Conservative Hold"
"2","E14000531","Aldridge-Brownhills","Conservative",60138,0.450319775074274,0.308401128055171,0.0686447581949927,0.0000587420130826937,0.0000411721064649351,0.0512257452954776,0.0689778126316697,0.0523308666288671,"Conservative","Conservative Hold"
"3","E14000532","Altrincham and Sale West","Conservative",73107,0.324001088588019,0.412604614472052,0.103954238580349,0.000019581926893732,0.0000459996143773337,0.0698040125023208,0.0465826001884149,0.0429878641275734,"Labour","Labour Gain"
"4","E14000533","Amber Valley","Conservative",69976,0.428071410561243,0.3326381617247,0.0758518878875868,0.0000548055466546677,0.000091314731943501,0.063663009217024,0.0513312782662767,0.0482981320645709,"Conservative","Conservative Hold"
"5","E14000534","Arundel and South Downs","Conservative",81726,0.440151358579117,0.226631926085531,0.178531782788704,0.0000470400774052802,0.0000264994718768102,0.0705131866514994,0.0419518854783056,0.0421463208675609,"Conservative","Conservative Hold"
"6","E14000535","Ashfield","Conservative",78204,0.36357579141179,0.370184042158154,0.088841222984932,0.000637154841808979,0.0000703054073188087,0.0432793853168982,0.0750235538285073,0.0583885440505907,"Labour","Labour Gain"
"7","E14000536","Ashford","Conservative",89553,0.412193281695542,0.30308476339152,0.109129875244304,0.0000443703565994383,0.0000394578344789704,0.0694522942146107,0.0539474655751302,0.0521084916878141,"Conservative","Conservative Hold"
"8","E14000537","Ashton-under-Lyne","Labour",67978,0.298684677984791,0.463222202604656,0.0559011049931774,0.000115529520437146,0.0000911452805615183,0.0584799137586629,0.0731570472107851,0.0503483786469289,"Labour","Labour Hold"
"9","E14000538","Aylesbury","Conservative",86665,0.364409080539721,0.321794214245233,0.142272341735305,0.0000309976265300057,0.0000209170334926685,0.0733508120083775,0.0445241252998537,0.0535975115114873,"Conservative","Conservative Hold"
"10","E14000539","Banbury","Conservative",90116,0.36467251546572,0.334690060690699,0.13081255203343,0.0000378435224561934,0.0000451456510748681,0.0746251663679544,0.0448605976862836,0.0502561185823822,"Conservative","Conservative Hold"
"11","E14000540","Barking","Labour",77953,0.223531290589674,0.524959898084146,0.0563730915189561,0.000147591903739625,0.0000873520453401656,0.0596772016275927,0.0434449061836414,0.0917786680469099,"Labour","Labour Hold"
"12","E14000541","Barnsley Central","Labour",65277,0.248672613875353,0.385476101022602,0.0836281506235152,0.0630362972301674,0.00489478025325028,0.0513616447353284,0.0909601490988362,0.0719702631609472,"Labour","Labour Hold"
"13","E14000542","Barnsley East","Labour",69504,0.269923798702085,0.368942940715218,0.0810218194213842,0.0603211294255502,0.00403372099074867,0.0523146179813464,0.0936564172602228,0.0697855555034447,"Labour","Labour Hold"
"14","E14000543","Barrow and Furness","Conservative",70158,0.352237591671352,0.404656985671161,0.0654765046080119,0.0000452838394263042,0.0000539954923291895,0.0567015680977977,0.0714780016468753,0.0493500689730468,"Labour","Labour Gain"
"15","E14000544","Basildon and Billericay","Conservative",69906,0.416901143040024,0.322750258763477,0.0850767883791452,0.000112382393122375,0.0000606949161685101,0.0592035968500229,0.0594285632847144,0.0564665723733262,"Conservative","Conservative Hold"
